Hour_of_Day,Avg_Hourly_High_Low_Diff,Volatility
0,0.5488135593220309,0.0003687229385806519
8,1.5945454545454538,0.002593175021262469
9,1.4793388429752066,0.001576932328399429
10,0.8854545454545458,0.0008336729959544625
11,0.9454545454545462,0.000831534362123179
12,1.809173553719009,0.0012167464887187685
13,2.8333884297520675,0.0018083117449831947
14,2.99099173553719,0.0021419333729153357
15,2.3390082644628096,0.0016196466738856395
16,1.7190082644628086,0.001226423519882035
17,1.5684297520661175,0.001291207417839807
18,1.3841322314049576,0.0010819079287247852
19,1.551596638655462,0.0011683848535506919
20,1.5184033613445382,0.001095581009239662
21,1.2789256198347108,0.0014551038544712452
22,0.7826890756302523,0.0007191570520946877
23,0.6167226890756299,0.00047997472454069446
